Gene name (systematic),L (in codon),alpha_phys,rho_phys (E)
YDL137W,182,0.13230,0.01566
YDL138W,764,0.02951,0.00515
YDL139C,224,0.08986,0.01421
YDL140C,1734,0.04949,0.00724
YDL141W,691,0.05899,0.01027
YDL142C,284,0.08136,0.01419
YDL143W,529,0.10796,0.01520
YDL144C,357,0.04530,0.00859
YDL145C,1202,0.07154,0.00986
YDL146W,492,0.04440,0.00729
YDL147W,446,0.09489,0.01482
YDL148C,811,0.09369,0.01216
YDL149W,998,0.03241,0.00551
YDL150W,423,0.07342,0.01113
YDL151C,194,0.10399,0.01691
YDL152W,122,0.53601,0.05807
YDL153C,611,0.10435,0.01392
YDL154W,902,0.03766,0.00644
YDL155W,428,0.08902,0.01354
YDL156W,523,0.07829,0.01241
YDL157C,119,0.14805,0.01696
YDL158C,103,0.28655,0.04137
YDL159W,516,0.06417,0.01060
YDL160C,507,0.12059,0.01717
YDL161W,455,0.08099,0.01322
YDL162C,119,0.24626,0.03093
YDL164C,756,0.08116,0.01274
YDL165W,192,0.14401,0.02339
YDL166C,198,0.14707,0.02066
YDL167C,720,0.05639,0.00838
YDL168W,387,0.14706,0.01796
YDL169C,224,0.13958,0.01982
YDL170W,529,0.04607,0.00787
YDL171C,2146,0.05256,0.00679
YDL172C,160,0.13408,0.02085
YDL173W,296,0.08911,0.01236
YDL174C,588,0.10960,0.01494
YDL175C,345,0.08505,0.01457
YDL176W,709,0.02249,0.00393
YDL177C,171,0.12945,0.02096
YDL178W,531,0.09941,0.01372
YDL179W,305,0.09927,0.01594
YDL180W,548,0.05984,0.01097
YDL181W,86,0.14749,0.02347
YDL182W,429,0.15857,0.01900
YDL183C,321,0.22446,0.03319
YDL184C,26,1.24654,0.07763
YDL185W,1072,0.09317,0.01247
YDL186W,278,0.14064,0.02209
YDL187C,110,0.41952,0.05498
YDL188C,378,0.06434,0.01059
YDL189W,458,0.05123,0.00889
YDL190C,962,0.07340,0.01121
YDL191W,121,0.21053,0.01668
YDL192W,182,0.13867,0.01541
YDL193W,376,0.14458,0.01771
YDL194W,885,0.02607,0.00435
YDL195W,1274,0.06294,0.00873
YDL196W,110,0.28491,0.03284
YDL197C,526,0.13616,0.02481
YDL198C,301,0.13960,0.01864
YDL199C,688,0.04284,0.00802
YDL200C,189,0.07437,0.01157
YDL201W,287,0.11336,0.01651
YDL202W,250,0.05277,0.00874
YDL203C,624,0.05411,0.00872
YDL204W,394,0.07802,0.01121
YDL205C,328,0.05482,0.00862
YDL206W,763,0.02321,0.00432
YDL207W,539,0.05048,0.00897
YDL208W,157,0.20184,0.01936
YDL209C,340,0.09446,0.01484
YDL210W,572,0.03409,0.00504
YDL211C,373,0.05442,0.00879
YDL212W,211,0.11913,0.01580
YDL213C,226,0.14694,0.01837
YDL214C,700,0.02192,0.00380
YDL215C,1093,0.02763,0.00409
YDL216C,441,0.06271,0.00977
YDL217C,208,0.07406,0.01221
YDL218W,318,0.07639,0.01189
YDL219W,151,0.13524,0.01990
YDL220C,925,0.03237,0.00615
YDL221W,184,0.16834,0.02423
YDL222C,310,0.09381,0.01584
YDL223C,1047,0.03542,0.00531
YDL224C,650,0.05187,0.00863
YDL225W,552,0.11499,0.01616
YDL226C,353,0.10654,0.01681
YDL227C,587,0.14002,0.02081
YDL230W,336,0.07285,0.01385
YDL231C,1126,0.01110,0.00194
YDL233W,459,0.07206,0.01217
YDL234C,747,0.05541,0.00902
YDL235C,168,0.16062,0.02054
YDL236W,313,0.15286,0.02105
YDL237W,391,0.11187,0.01643
YDL238C,490,0.02607,0.00475
YDL239C,791,0.02488,0.00458
YDL240W,1018,0.02254,0.00389
YDL241W,124,0.12108,0.01985
YDL242W,118,0.10928,0.01909
YDL243C,330,0.05269,0.00847
YDL244W,341,0.06637,0.00758
YDL245C,568,0.05947,0.00984
YDL246C,358,0.05817,0.00811
YDL247W-A,25,0.01716,0.00331
YDL248W,384,0.09720,0.01717
YDR001C,752,0.05222,0.00862
YDR002W,202,0.23487,0.02225
YDR003W,211,0.12950,0.01880
YDR004W,461,0.04577,0.00862
YDR005C,396,0.07910,0.01417
YDR006C,902,0.03460,0.00571
YDR007W,225,0.05267,0.00901
YDR008C,117,0.15558,0.02573
YDR009W,521,0.14353,0.02083
YDR010C,111,0.20266,0.03223
YDR011W,1502,0.04943,0.00752
YDR012W,363,0.25076,0.01951
YDR013W,209,0.13517,0.02266
YDR014W,648,0.04998,0.00831
YDR016C,95,0.41522,0.06087
YDR017C,1051,0.02588,0.00440
YDR018C,397,0.04869,0.00823
YDR019C,401,0.07621,0.01240
YDR020C,233,0.09636,0.01424
YDR021W,400,0.10408,0.01451
YDR022C,197,0.09780,0.01719
YDR023W,463,0.15632,0.01765
YDR024W,162,0.29903,0.03581
YDR025W,157,0.14380,0.01300
YDR026C,571,0.05272,0.00753
YDR027C,890,0.02734,0.00492
YDR028C,1015,0.03646,0.00563
YDR029W,105,0.20492,0.04945
YDR030C,507,0.04372,0.00740
YDR031W,122,0.19906,0.02897
YDR032C,199,0.28642,0.02724
YDR033W,321,0.17862,0.01971
YDR034C,791,0.02825,0.00506
YDR035W,371,0.13070,0.01727
YDR036C,501,0.08966,0.01185
YDR037W,592,0.14897,0.01655
YDR038C,1092,0.06634,0.00971
YDR039C,1092,0.06775,0.00992
YDR040C,1092,0.06683,0.01001
YDR041W,204,0.12265,0.01982
YDR042C,201,0.16310,0.02432
YDR043C,232,0.08643,0.01448
YDR044W,329,0.20514,0.01824
YDR045C,111,0.12895,0.01818
YDR046C,605,0.08110,0.01143
YDR047W,363,0.11366,0.01784
YDR048C,105,0.66328,0.05733
YDR049W,633,0.05907,0.00962
YDR050C,249,0.26112,0.01982
YDR051C,335,0.09626,0.01431
YDR052C,705,0.04748,0.00738
YDR053W,132,0.27515,0.04038
YDR054C,296,0.12224,0.01784
YDR055W,445,0.19499,0.02012
YDR056C,206,0.11603,0.01384
YDR057W,543,0.09421,0.01559
YDR058C,327,0.11369,0.01804
YDR059C,149,0.08665,0.01355
YDR060W,1026,0.08431,0.01168
YDR061W,540,0.05704,0.01038
YDR062W,562,0.08164,0.01125
YDR063W,150,0.16866,0.02153
YDR064W,152,0.18603,0.01406
YDR065W,366,0.03618,0.00608
YDR066C,197,0.14610,0.02300
YDR067C,225,0.07046,0.01118
YDR068W,311,0.15138,0.01994
YDR069C,927,0.02945,0.00485
YDR070C,94,0.32123,0.03645
YDR071C,192,0.21291,0.02471
YDR072C,528,0.14010,0.02044
YDR073W,170,0.05222,0.01187
YDR074W,897,0.09791,0.01393
YDR075W,309,0.06693,0.01069
YDR076W,407,0.08412,0.01152
YDR077W,339,0.18029,0.01776
YDR078C,224,0.12775,0.01844
YDR079W,112,0.15576,0.02796
YDR080W,993,0.04941,0.00772
YDR081C,926,0.03565,0.00577
YDR082W,495,0.02238,0.00408
YDR083W,393,0.11070,0.01476
YDR084C,200,0.11691,0.01903
YDR085C,621,0.02841,0.00467
YDR086C,81,0.26106,0.02494
YDR087C,279,0.12800,0.01999
YDR088C,383,0.07734,0.01197
YDR089W,870,0.04103,0.00689
YDR090C,311,0.10291,0.01635
YDR091C,609,0.12648,0.01444
YDR092W,154,0.16248,0.02291
YDR093W,1613,0.03352,0.00543
YDR095C,137,0.11907,0.02689
YDR096W,895,0.03851,0.00595
YDR097C,1243,0.05653,0.00879
YDR098C,286,0.11817,0.01681
YDR099W,274,0.17203,0.01985
YDR100W,144,0.12755,0.02040
YDR101C,594,0.13126,0.01730
YDR102C,111,0.20728,0.03188
YDR103W,918,0.03500,0.00619
YDR104C,1246,0.02310,0.00417
YDR105C,474,0.10675,0.01783
YDR106W,285,0.09094,0.01459
YDR107C,673,0.05395,0.00919
YDR108W,699,0.04205,0.00761
YDR109C,716,0.02772,0.00486
YDR110W,567,0.06460,0.01082
YDR111C,508,0.07460,0.01172
YDR112W,103,0.46031,0.05319
YDR113C,374,0.07438,0.01266
YDR114C,101,0.30399,0.06227
YDR115W,106,1.01233,0.05810
YDR116C,286,0.09243,0.01408
YDR117C,566,0.08926,0.01307
YDR118W,653,0.04680,0.00830
YDR119W,769,0.06972,0.01162
YDR120C,571,0.16196,0.01877
YDR121W,197,0.11935,0.02007
YDR122W,1065,0.04370,0.00760
YDR123C,305,0.06898,0.01238
YDR124W,325,0.06129,0.01068
YDR125C,454,0.08520,0.01169
YDR126W,337,0.07815,0.01402
YDR127W,1589,0.04939,0.00710
YDR128W,1149,0.01608,0.00286
YDR129C,643,0.13523,0.01752
YDR130C,292,0.08996,0.01675
YDR131C,557,0.05914,0.00971
YDR132C,496,0.06444,0.01094
YDR133C,112,0.14931,0.02817
YDR135C,1516,0.02730,0.00439
YDR136C,191,0.09462,0.02031
YDR137W,664,0.04562,0.00849
YDR138W,753,0.03953,0.00654
YDR139C,78,0.33017,0.05088
YDR140W,222,0.09892,0.01510
YDR141C,1699,0.04213,0.00726
YDR142C,376,0.05771,0.00969
YDR143C,611,0.06596,0.01012
YDR144C,597,0.06914,0.01070
YDR145W,540,0.06654,0.01238
YDR146C,710,0.05168,0.00877
YDR147W,535,0.07298,0.01098
YDR148C,464,0.14347,0.01544
YDR149C,236,0.13105,0.02404
YDR150W,2749,0.01139,0.00185
YDR151C,326,0.08063,0.01455
YDR152W,266,0.13624,0.01768
YDR153C,412,0.09034,0.01461
YDR154C,117,0.16608,0.02789
YDR155C,163,0.27381,0.02163
YDR156W,138,0.10173,0.01831
YDR157W,134,0.14695,0.02043
YDR158W,366,0.13186,0.01494
YDR159W,1302,0.02140,0.00357
YDR160W,853,0.02102,0.00368
YDR161W,388,0.07374,0.01091
YDR162C,237,0.15363,0.02069
YDR163W,176,0.16962,0.02575
YDR164C,725,0.06298,0.00916
YDR165W,445,0.12596,0.01547
YDR166C,972,0.02917,0.00466
YDR167W,207,0.10614,0.01926
YDR168W,507,0.10566,0.01503
YDR169C,514,0.05836,0.00994
YDR170C,2010,0.04237,0.00628
YDR171W,376,0.09594,0.01454
YDR172W,686,0.13530,0.01540
YDR173C,356,0.07813,0.01286
YDR174W,247,0.18517,0.02124
YDR175C,320,0.10257,0.01607
YDR176W,703,0.10354,0.01560
YDR177W,216,0.19451,0.02673
YDR178W,182,0.09653,0.01517
YDR179C,163,0.16976,0.02319
YDR180W,1494,0.04420,0.00738
YDR181C,482,0.06717,0.01114
YDR182W,492,0.09887,0.01579
YDR183W,231,0.09622,0.01606
YDR184C,295,0.08126,0.01221
YDR185C,180,0.07090,0.01224
YDR186C,878,0.02280,0.00400
YDR187C,173,0.30229,0.04887
YDR188W,547,0.08090,0.01359
YDR189W,667,0.09445,0.01294
YDR190C,464,0.11858,0.01641
YDR191W,371,0.09974,0.01509
YDR192C,431,0.08215,0.01261
YDR193W,133,0.20752,0.03759
YDR194C,665,0.07338,0.01005
YDR195W,534,0.07352,0.01079
YDR196C,242,0.06241,0.00982
YDR197W,390,0.03743,0.00633
YDR198C,480,0.06729,0.01149
YDR199W,122,0.11193,0.02182
YDR200C,605,0.03566,0.00588
YDR201W,166,0.14994,0.02139
YDR202C,352,0.05159,0.00929
YDR203W,106,0.24805,0.03642
YDR204W,336,0.08627,0.01390
YDR205W,725,0.04522,0.00765
YDR206W,885,0.02577,0.00464
YDR207C,837,0.03174,0.00522
YDR208W,780,0.03022,0.00507
YDR209C,138,0.07389,0.01463
YDR210W,76,0.24371,0.03329
YDR211W,713,0.08691,0.01233
YDR212W,560,0.12900,0.01621
YDR213W,914,0.03113,0.00544
YDR214W,351,0.09341,0.01442
YDR215C,128,0.22960,0.04207
YDR216W,1324,0.02412,0.00404
YDR217C,1310,0.02059,0.00360
YDR218C,424,0.04807,0.00794
YDR219C,466,0.07076,0.01066
YDR220C,98,0.33979,0.03404
YDR221W,703,0.04797,0.00779
YDR222W,416,0.12010,0.01472
YDR223W,468,0.02846,0.00513
YDR224C,132,0.30952,0.02337
YDR225W,133,0.20667,0.01776
YDR226W,223,0.21736,0.01905
YDR227W,1359,0.08537,0.01365
YDR228C,627,0.05792,0.00983
YDR229W,454,0.08153,0.01377
YDR230W,116,0.18158,0.02991
YDR231C,206,0.11059,0.01752
YDR232W,549,0.08553,0.01159
YDR233C,296,0.21425,0.02096
YDR234W,694,0.09933,0.01418
YDR235W,545,0.04640,0.00796
YDR236C,219,0.06754,0.01055
YDR237W,293,0.09224,0.01327
YDR238C,974,0.12402,0.01498
YDR239C,788,0.03852,0.00668
YDR240C,493,0.06121,0.01071
YDR242W,550,0.06574,0.01002
YDR243C,589,0.06698,0.00998
YDR244W,613,0.05319,0.00857
YDR245W,394,0.09453,0.01374
YDR246W,220,0.39422,0.03690
YDR247W,462,0.05561,0.00865
YDR248C,194,0.15253,0.02025
YDR249C,374,0.06096,0.01152
YDR250C,92,0.30891,0.04261
YDR251W,831,0.08068,0.01293
YDR252W,150,0.14655,0.02273
YDR253C,192,0.17108,0.02347
YDR254W,459,0.07614,0.01203
YDR255C,422,0.04112,0.00683
YDR256C,516,0.02352,0.00391
YDR257C,495,0.08093,0.01285
YDR258C,812,0.09797,0.01364
YDR259C,384,0.33878,0.04083
YDR260C,171,0.11238,0.01641
YDR261C,563,0.06045,0.00949
YDR262W,273,0.12804,0.01937
YDR263C,431,0.07849,0.01263
YDR264C,765,0.06718,0.01100
YDR265W,338,0.07454,0.01322
YDR266C,640,0.06114,0.00954
YDR267C,331,0.10427,0.01482
YDR268W,380,0.09042,0.01392
YDR269C,108,0.25580,0.04134
YDR270W,1005,0.06571,0.01010
YDR271C,124,0.34052,0.04419
YDR272W,275,0.14641,0.01893
YDR273W,366,0.10739,0.01622
YDR274C,124,0.10572,0.01940
YDR275W,236,0.04911,0.00855
YDR276C,56,0.32972,0.03604
YDR277C,434,0.05131,0.00942
YDR278C,106,0.20130,0.03134
YDR279W,351,0.05810,0.00949
YDR280W,306,0.09381,0.01483
YDR281C,105,0.09958,0.01922
YDR282C,415,0.07481,0.01187
YDR283C,1660,0.03790,0.00608
YDR284C,290,0.11895,0.01735
YDR285W,876,0.03887,0.00663
YDR286C,115,0.18822,0.02742
YDR287W,293,0.10867,0.01508
YDR288W,304,0.07028,0.01107
YDR289C,410,0.08469,0.01266
YDR291W,1078,0.03037,0.00503
YDR292C,622,0.06558,0.01059
YDR293C,1251,0.04673,0.00723
YDR294C,590,0.12263,0.01632
YDR295C,675,0.04776,0.00800
YDR297W,350,0.15851,0.02051
YDR298C,213,0.09434,0.01193
YDR299W,535,0.12560,0.01674
YDR300C,429,0.11299,0.01504
YDR301W,1358,0.04678,0.00716
YDR302W,220,0.14962,0.02024
YDR303C,886,0.06189,0.01046
YDR304C,226,0.15054,0.01721
YDR305C,218,0.14018,0.02059
YDR306C,479,0.05422,0.00923
YDR307W,663,0.15476,0.02144
YDR308C,141,0.13909,0.02326
YDR309C,384,0.07971,0.01402
YDR310C,1063,0.02668,0.00457
YDR311W,643,0.05764,0.00857
YDR312W,454,0.07812,0.01121
YDR313C,287,0.05342,0.01030
YDR314C,693,0.09283,0.01440
YDR315C,282,0.06023,0.00986
YDR316W,472,0.05787,0.00847
YDR317W,415,0.08344,0.01265
YDR318W,369,0.09810,0.01415
YDR319C,275,0.09562,0.01407
YDR320C,669,0.06079,0.00914
YDR321W,382,0.09848,0.01370
YDR322W,368,0.10154,0.01717
YDR323C,516,0.05286,0.00884
YDR324C,777,0.09984,0.01257
YDR325W,1036,0.04709,0.00838
YDR326C,1439,0.05745,0.00903
YDR327W,109,0.17291,0.02927
YDR328C,195,0.15678,0.02259
YDR329C,442,0.06183,0.01168
YDR330W,501,0.06768,0.01044
YDR331W,412,0.07234,0.01202
YDR332W,690,0.03455,0.00590
YDR333C,724,0.05783,0.00918
YDR334W,1515,0.05203,0.00853
YDR335W,1225,0.03074,0.00525
YDR336W,315,0.06467,0.01127
YDR337W,287,0.10497,0.01481
YDR338C,696,0.03795,0.00642
YDR339C,190,0.12763,0.01952
YDR340W,101,0.13498,0.02018
YDR341C,608,0.12512,0.01514
YDR342C,571,0.19143,0.01778
YDR343C,571,0.18929,0.01775
YDR344C,148,0.14125,0.02395
YDR345C,568,0.18012,0.01739
YDR346C,482,0.12325,0.01517
YDR347W,322,0.06002,0.01040
YDR348C,500,0.08171,0.01268
YDR349C,597,0.03357,0.00584
YDR350C,612,0.02678,0.00509
YDR351W,865,0.02854,0.00503
YDR352W,318,0.10414,0.01651
YDR353W,320,0.14945,0.01798
YDR354W,381,0.08743,0.01454
YDR355C,101,0.21197,0.04100
YDR356W,945,0.03508,0.00576
YDR357C,123,0.40016,0.04749
YDR358W,558,0.05901,0.00949
YDR359C,983,0.02664,0.00481
YDR360W,129,0.15502,0.03097
YDR361C,284,0.14241,0.02052
YDR362C,673,0.03963,0.00687
YDR363W,457,0.04869,0.00813
YDR364C,456,0.05739,0.00945
YDR365C,629,0.08002,0.01129
YDR366C,133,0.08942,0.01518
YDR367W,222,0.06112,0.00909
YDR368W,313,0.20150,0.02183
YDR369C,855,0.09565,0.01383
YDR370C,443,0.03672,0.00666
YDR371W,512,0.05450,0.00785
YDR372C,346,0.07696,0.01171
YDR373W,191,0.06658,0.01057
YDR374C,307,0.05191,0.00803
YDR375C,457,0.05553,0.00842
YDR376W,494,0.06916,0.01029
YDR377W,102,0.17930,0.01979
YDR378C,87,0.08736,0.01628
YDR379W,1010,0.05383,0.00911
YDR380W,636,0.12441,0.01836
YDR381W,227,0.16714,0.02170
YDR382W,111,0.25183,0.01818
YDR383C,239,0.09128,0.01486
YDR384C,276,0.13656,0.02025
YDR385W,843,0.16073,0.01380
YDR386W,633,0.03335,0.00603
YDR387C,556,0.02435,0.00438
YDR388W,483,0.10425,0.01454
YDR389W,655,0.04428,0.00748
YDR390C,637,0.08140,0.01208
YDR391C,233,0.15881,0.02267
YDR392W,338,0.08933,0.01461
YDR394W,429,0.13330,0.01757
YDR395W,945,0.09303,0.01305
YDR396W,167,0.11527,0.01685
YDR397C,147,0.13159,0.02038
YDR398W,644,0.09345,0.01355
YDR399W,222,0.15449,0.01865
YDR400W,341,0.06566,0.01021
YDR401W,188,0.08360,0.01585
YDR402C,490,0.14144,0.02012
YDR403W,537,0.02466,0.00376
YDR404C,172,0.08555,0.01223
YDR405W,264,0.08024,0.01470
YDR406W,1530,0.03574,0.00561
YDR407C,1290,0.01672,0.00279
YDR408C,215,0.06577,0.01112
YDR409W,905,0.06685,0.01183
YDR410C,240,0.06319,0.01188
YDR411C,342,0.10876,0.01743
YDR412W,236,0.07709,0.01213
YDR413C,192,0.11675,0.01952
YDR414C,363,0.06242,0.01168
YDR415C,375,0.13949,0.01645
YDR416W,860,0.04104,0.00699
YDR417C,124,0.12037,0.01763
YDR418W,166,0.15248,0.01222
YDR419W,633,0.04005,0.00735
YDR420W,1803,0.03329,0.00654
YDR421W,951,0.03248,0.00569
YDR422C,816,0.02726,0.00473
YDR423C,410,0.08107,0.01311
YDR424C,93,0.28404,0.02814
YDR425W,626,0.05587,0.00918
YDR427W,394,0.12844,0.01663
YDR428C,262,0.10621,0.01796
YDR429C,275,0.14332,0.01690
YDR430C,990,0.04011,0.00617
YDR431W,104,0.98340,0.07259
YDR432W,415,0.13929,0.01574
YDR433W,147,0.33130,0.04972
YDR434W,535,0.12768,0.01902
YDR435C,329,0.06539,0.01058
YDR436W,711,0.04329,0.00780
YDR437W,141,0.08365,0.01432
YDR438W,371,0.04699,0.00883
YDR439W,348,0.07034,0.01174
YDR440W,583,0.03517,0.00607
YDR441C,182,0.06471,0.01109
YDR442W,131,0.29653,0.04046
YDR443C,1421,0.01471,0.00257
YDR444W,688,0.02819,0.00514
YDR445C,136,0.19845,0.02852
YDR446W,303,0.12053,0.02108
YDR447C,137,0.16683,0.01473
YDR448W,435,0.06600,0.01178
YDR449C,441,0.09524,0.01385
YDR450W,147,0.17151,0.01419
YDR451C,354,0.11753,0.01929
YDR452W,675,0.06445,0.01003
YDR453C,197,0.25237,0.02721
YDR454C,188,0.21106,0.02181
YDR455C,103,0.74612,0.06472
YDR456W,634,0.07160,0.01083
YDR457W,3269,0.02268,0.00368
YDR458C,664,0.04143,0.00735
YDR459C,375,0.02763,0.00538
YDR460W,322,0.10888,0.01685
YDR461W,37,0.93533,0.05455
YDR462W,148,0.14267,0.02506
YDR463W,520,0.10037,0.01478
YDR464W,1436,0.04635,0.00731
YDR465C,413,0.08498,0.01227
YDR466W,899,0.06732,0.01057
YDR467C,109,0.23320,0.03623
YDR468C,225,0.07183,0.01130
YDR469W,176,0.16275,0.02203
YDR470C,503,0.07659,0.01136
YDR471W,137,0.15578,0.01473
YDR472W,284,0.09271,0.01518
YDR473C,470,0.06077,0.01001
YDR475C,877,0.25217,0.03456
YDR476C,225,0.05089,0.01057
YDR477W,634,0.07957,0.01162
YDR478W,199,0.11613,0.01913
YDR479C,555,0.03844,0.00710
YDR480W,324,0.07873,0.01333
YDR481C,567,0.10637,0.01666
YDR482C,136,0.13273,0.02669
YDR483W,443,0.16775,0.01697
YDR484W,642,0.03926,0.00623
YDR485C,796,0.07959,0.01310
YDR486C,230,0.10022,0.01526
YDR487C,209,0.11997,0.01793
YDR488C,534,0.03329,0.00661
YDR489W,295,0.08694,0.01362
YDR490C,767,0.04153,0.00719
YDR491C,164,0.23720,0.03296
YDR492W,317,0.12134,0.01850
YDR493W,124,0.21361,0.02863
YDR494W,362,0.09608,0.01581
YDR495C,1012,0.02673,0.00472
YDR496C,657,0.13857,0.01752
YDR497C,585,0.07463,0.01037
YDR498C,384,0.06413,0.01060
YDR499W,748,0.03476,0.00614
YDR500C,89,0.27565,0.02268
YDR501W,522,0.06275,0.01071
YDR502C,385,0.20755,0.02063
YDR503C,275,0.08123,0.01382
YDR504C,128,0.62388,0.04436
YDR505C,842,0.05793,0.00882
YDR506C,609,0.04873,0.00754
YDR507C,1143,0.08449,0.01290
YDR508C,664,0.10353,0.01321
YDR510W,102,0.15888,0.01979
YDR511W,134,0.20641,0.02987
YDR512C,188,0.06018,0.01074
YDR513W,144,0.16410,0.01948
YDR514C,484,0.06404,0.01081
YDR515W,448,0.08851,0.01209
YDR516C,501,0.13341,0.01932
YDR517W,373,0.08503,0.01440
YDR518W,518,0.12766,0.01662
YDR519W,136,0.27313,0.02744
YDR520C,773,0.02991,0.00524
YDR521W,112,0.74903,0.04919
YDR522C,503,0.14661,0.02109
YDR523C,491,0.05263,0.00830
YDR524C-A,40,0.03093,0.00540
YDR525W,110,0.37249,0.05347
YDR526C,157,0.12536,0.02289
YDR527W,440,0.08483,0.01212
YDR528W,424,0.04309,0.00724
YDR529C,128,0.13423,0.01827
YDR530C,326,0.11671,0.01895
YDR531W,368,0.06146,0.00960
YDR532C,386,0.19107,0.02777
YDR533C,238,0.18919,0.01961
YDR534C,529,0.02905,0.00416
YDR535C,167,0.12771,0.02267
YDR536W,570,0.15625,0.01979
YDR537C,202,0.08119,0.01415
YDR538W,243,0.07405,0.01176
YDR539W,504,0.08237,0.01295
YDR540C,180,0.13406,0.01886
YDR541C,345,0.03771,0.00585
YDR542W,121,0.33973,0.02768
YDR543C,100,0.24239,0.02866
YDR544C,143,0.25552,0.02975
YEL001C,226,0.13802,0.01718
YEL002C,431,0.10121,0.01464
YEL003W,112,0.30245,0.04018
YEL004W,343,0.08899,0.01599
YEL005C,283,0.10406,0.01758
YEL007W,667,0.04610,0.00719
YEL008W,127,0.43517,0.04495
YEL009C-A,136,0.03593,0.00716
YEL010W,117,0.15756,0.03081
YEL011W,705,0.02750,0.00438
YEL012W,219,0.15509,0.01973
YEL013W,579,0.08722,0.01131
YEL014C,102,0.45169,0.05415
YEL015W,552,0.06853,0.01050
YEL016C,494,0.02826,0.00500
YEL017W,338,0.07774,0.01409
YEL018W,280,0.12483,0.02034
YEL019C,268,0.10800,0.01556
YEL020C,561,0.04483,0.00794
YEL021W,268,0.13826,0.01715
YEL022W,1460,0.08455,0.01208
YEL023C,683,0.03427,0.00581
YEL024W,216,0.17728,0.02004
YEL025C,1189,0.01727,0.00309
YEL026W,127,0.19254,0.01775
YEL027W,161,0.18008,0.01736
YEL028W,154,0.74106,0.04893
YEL029C,313,0.06727,0.01051
YEL030W,645,0.08392,0.01152
YEL031W,1216,0.11300,0.01360
YEL032W,972,0.08094,0.01231
YEL033W,140,0.14534,0.02583
YEL034W,158,0.30676,0.02349
YEL035C,167,0.10431,0.01990
YEL036C,501,0.13096,0.01943
YEL037C,399,0.11984,0.01723
YEL038W,228,0.06595,0.01133
YEL039C,114,0.40522,0.04032
YEL040W,468,0.12165,0.01571
YEL041W,496,0.05432,0.00952
YEL042W,519,0.14126,0.01688
YEL043W,957,0.02744,0.00467
YEL044W,167,0.13605,0.02098
YEL045C,142,0.69351,0.05363
YEL046C,388,0.15562,0.01949
YEL047C,471,0.17276,0.01935
YEL048C,153,0.08635,0.01319
YEL049W,121,0.20615,0.01832
YEL050C,394,0.07581,0.01056
YEL051W,257,0.11858,0.01353
YEL052W,510,0.05988,0.01022
YEL053C,734,0.04462,0.00708
YEL054C,166,0.14665,0.01285
YEL055C,1023,0.07221,0.01073
YEL056W,402,0.10852,0.01524
YEL057C,234,0.19049,0.02356
YEL058W,558,0.08474,0.01448
YEL059W,103,0.27528,0.03336
YEL060C,636,0.12287,0.01574
YEL061C,1001,0.01644,0.00276
YEL062W,616,0.04494,0.00740
YEL063C,591,0.02341,0.00341
YEL064C,481,0.05885,0.00999
YEL065W,629,0.12941,0.01771
YEL066W,180,0.11673,0.01885
YEL067C,196,0.09208,0.01716
YEL068C,111,0.21312,0.03044
YEL069C,565,0.02792,0.00492
YEL070W,503,0.06435,0.00920
YEL071W,497,0.13904,0.01658
YEL072W,232,0.06174,0.01024
YEL073C,108,0.27277,0.03803
YEL074W,113,0.20726,0.03324
YEL075C,123,0.32401,0.04121
YEL076C,217,0.05204,0.00930
YEL077C,1278,0.00807,0.00158
YER001W,763,0.13658,0.01774
YER002W,232,0.15687,0.02221
YER003C,430,0.15384,0.01793
YER004W,232,0.09168,0.01491
YER005W,631,0.05395,0.00913
YER006W,521,0.11350,0.01645
YER007W,519,0.06109,0.00991
YER008C,1337,0.04897,0.00795
YER009W,126,0.17789,0.01879
YER010C,235,0.06257,0.00971
YER011W,255,0.22604,0.01937
YER012W,199,0.12711,0.01775
YER013W,1146,0.03116,0.00511
YER014W,540,0.06269,0.01044
YER015W,745,0.10380,0.01437
YER016W,345,0.07268,0.01182
YER017C,762,0.06825,0.01106
YER018C,222,0.05885,0.01233
YER019W,478,0.07720,0.01399
YER020W,450,0.05477,0.01084
YER021W,524,0.09834,0.01471
YER022W,688,0.07608,0.01175
YER023W,287,0.13752,0.01888
YER024W,924,0.01870,0.00302
YER025W,528,0.13142,0.01595
YER026C,277,0.13648,0.01963
YER027C,418,0.08683,0.01434
YER028C,395,0.05847,0.01043
YER029C,197,0.10227,0.01645
YER030W,154,0.24549,0.02557
YER031C,224,0.07636,0.01140
YER032W,877,0.02633,0.00448
YER033C,1077,0.03360,0.00555
YER034W,186,0.14308,0.02761
YER035W,146,0.19043,0.03377
YER036C,611,0.11744,0.01304
YER037W,322,0.10518,0.01551
YER038C,465,0.05469,0.00814
YER039C,250,0.07361,0.01239
YER040W,731,0.03666,0.00638
YER041W,760,0.02552,0.00440
YER042W,185,0.38303,0.02911
YER043C,450,0.20417,0.01836
YER044C,149,0.26342,0.02485
YER045C,490,0.04798,0.00813
YER046W-A,110,0.16501,0.02461
YER047C,898,0.03298,0.00568
YER048C,392,0.11714,0.01422
YER049W,645,0.10850,0.01496
YER050C,139,0.09479,0.01554
YER051W,493,0.06405,0.01038
YER052C,528,0.11865,0.01507
YER053C,301,0.06525,0.00997
YER054C,549,0.05269,0.00789
YER055C,298,0.09525,0.01361
YER056C,534,0.14657,0.01876
YER057C,130,2.54214,0.06067
